BaseItemTypesKey,ItemCurrentLevel,Experience
"<5302, 0>",6,800194
"<5302, 0>",7,1201538
"<5302, 0>",8,1755917
"<5302, 0>",9,2510966
"<5302, 0>",10,3527499
"<5302, 0>",11,5426101
"<5302, 0>",12,7390120
"<5302, 0>",13,9963851
"<5302, 0>",14,14640290
"<5302, 0>",15,17657617
"<5302, 0>",16,25480618
"<5302, 0>",17,40744826
"<5302, 0>",18,67017671
"<5302, 0>",19,129889945
"<5302, 0>",20,341913067
"<5304, 0>",1,0
"<5304, 0>",2,199345
"<5304, 0>",3,485160
"<5304, 0>",4,886504
"<5304, 0>",5,1440883
"<5304, 0>",6,1918320
"<5304, 0>",7,2502106
"<5304, 0>",8,3212465
"<5304, 0>",9,4567976
"<5304, 0>",10,5706853
"<5304, 0>",11,7075086
"<5304, 0>",12,8713424
"<5304, 0>",13,10670072
"<5304, 0>",14,14325256
"<5304, 0>",15,17342583
"<5304, 0>",16,25102578
"<5304, 0>",17,40240771
"<5304, 0>",18,66324596
"<5304, 0>",19,128944843
"<5304, 0>",20,340652931
"<5312, 0>",1,0
"<5312, 0>",2,70
"<5312, 0>",3,378
"<5312, 0>",4,1932
"<5312, 0>",5,8599
"<5312, 0>",6,34646
"<5312, 0>",7,84371
"<5312, 0>",8,180085
"<5312, 0>",9,349680
"<5312, 0>",10,633439
"<5312, 0>",11,1087435
"<5312, 0>",12,1790563
"<5312, 0>",13,2851786
"<5312, 0>",14,4917656
"<5312, 0>",15,7424766
"<5312, 0>",16,13223702
"<5312, 0>",17,28307621
"<5312, 0>",18,56100356
"<5312, 0>",19,99970095
"<5312, 0>",20,342051651
"<5305, 0>",1,0
"<5305, 0>",2,841
"<5305, 0>",3,3940
"<5305, 0>",4,11373
"<5305, 0>",5,34268
"<5305, 0>",6,83993
"<5305, 0>",7,179707
"<5305, 0>",8,349302
"<5305, 0>",9,633061
"<5305, 0>",10,1087057
"<5305, 0>",11,1790185
"<5305, 0>",12,2851408
"<5305, 0>",13,4917278
"<5305, 0>",14,7424388
"<5305, 0>",15,9998119
"<5305, 0>",16,17609470
"<5305, 0>",17,31047378
"<5305, 0>",18,56099525
"<5305, 0>",19,99968961
"<5305, 0>",20,342050139
"<5306, 0>",1,0
"<5306, 0>",2,9569
"<5306, 0>",3,37758
"<5306, 0>",4,96904
"<5306, 0>",5,208096
"<5306, 0>",6,401896
"<5306, 0>",7,722176
"<5306, 0>",8,1081266
"<5306, 0>",9,1579774
"<5306, 0>",10,2261831
"<5306, 0>",11,3183608
"<5306, 0>",12,4911487
"<5306, 0>",13,6703256
"<5306, 0>",14,9056935
"<5306, 0>",15,12127847
"<5306, 0>",16,21223313
"<5306, 0>",17,37263203
"<5306, 0>",18,67080320
"<5306, 0>",19,129975376
"<5306, 0>",20,342026975
"<5308, 0>",1,0
"<5308, 0>",2,15249
"<5308, 0>",3,56766
"<5308, 0>",4,138749
"<5308, 0>",5,286717
"<5308, 0>",6,537274
"<5308, 0>",7,942360
"<5308, 0>",8,1390078
"<5308, 0>",9,2005396
"<5308, 0>",10,2840035
"<5308, 0>",11,4410795
"<5308, 0>",12,6044782
"<5308, 0>",13,8195812
"<5308, 0>",14,11008001
"<5308, 0>",15,16107361
"<5308, 0>",16,25508092
"<5308, 0>",17,40781458
"<5308, 0>",18,67068040
"<5308, 0>",19,129958630
"<5308, 0>",20,342004647
"<5303, 0>",1,0
"<5303, 0>",2,285815
"<5303, 0>",3,538410
"<5303, 0>",4,852804
"<5303, 0>",5,1241538
"<5303, 0>",6,1718975
"<5303, 0>",7,2302761
"<5303, 0>",8,3013120
"<5303, 0>",9,4368631
"<5303, 0>",10,5507508
"<5303, 0>",11,6875741
"<5303, 0>",12,8514079
"<5303, 0>",13,10470727
"<5303, 0>",14,14125911
"<5303, 0>",15,17143238
"<5303, 0>",16,24863364
"<5303, 0>",17,39921819
"<5303, 0>",18,65886037
"<5303, 0>",19,128346808
"<5303, 0>",20,339855551
"<5309, 0>",1,0
"<5309, 0>",2,3231
"<5309, 0>",3,12800
"<5309, 0>",4,40989
"<5309, 0>",5,100135
"<5309, 0>",6,211327
"<5309, 0>",7,405127
"<5309, 0>",8,725407
"<5309, 0>",9,1233246
"<5309, 0>",10,1787625
"<5309, 0>",11,2542674
"<5309, 0>",12,3559207
"<5309, 0>",13,5457809
"<5309, 0>",14,7421828
"<5309, 0>",15,9995559
"<5309, 0>",16,17606398
"<5309, 0>",17,31043282
"<5309, 0>",18,56093893
"<5309, 0>",19,99961281
"<5309, 0>",20,342039899
"<5310, 0>",1,0
"<5310, 0>",2,69833
"<5310, 0>",3,198382
"<5310, 0>",4,352935
"<5310, 0>",5,578309
"<5310, 0>",6,898981
"<5310, 0>",7,1346699
"<5310, 0>",8,1962017
"<5310, 0>",9,2796656
"<5310, 0>",10,4367416
"<5310, 0>",11,6001403
"<5310, 0>",12,8152433
"<5310, 0>",13,10964622
"<5310, 0>",14,14619806
"<5310, 0>",15,17637133
"<5310, 0>",16,25456038
"<5310, 0>",17,40712051
"<5310, 0>",18,66972606
"<5310, 0>",19,129828493
"<5310, 0>",20,341831131
"<5311, 0>",1,0
"<5311, 0>",2,285815
"<5311, 0>",3,538410
"<5311, 0>",4,852804
"<5311, 0>",5,1241538
"<5311, 0>",6,1718975
"<5311, 0>",7,2302761
"<5311, 0>",8,3013120
"<5311, 0>",9,4368631
"<5311, 0>",10,5507508
"<5311, 0>",11,6875741
"<5311, 0>",12,8514079
"<5311, 0>",13,10470727
"<5311, 0>",14,14125911
"<5311, 0>",15,17143238
"<5311, 0>",16,24863364
"<5311, 0>",17,39921819
"<5311, 0>",18,65886037
"<5311, 0>",19,128346808
"<5311, 0>",20,339855551
"<5313, 0>",1,0
"<5313, 0>",2,388734
"<5313, 0>",3,866171
"<5313, 0>",4,1449957
"<5313, 0>",5,2160316
"<5313, 0>",6,3515827
"<5313, 0>",7,4654704
"<5313, 0>",8,6022937
"<5313, 0>",9,7661275
"<5313, 0>",10,9617923
"<5313, 0>",11,13273107
"<5313, 0>",12,16290434
"<5313, 0>",13,19866666
"<5313, 0>",14,24098333
"<5313, 0>",15,26493411
"<5313, 0>",16,34914474
"<5313, 0>",17,51074457
"<5313, 0>",18,92244824
"<5313, 0>",19,179039272
"<5313, 0>",20,336444335
"<5317, 0>",1,0
"<5317, 0>",2,841
"<5317, 0>",3,3940
"<5317, 0>",4,11373
"<5317, 0>",5,34268
"<5317, 0>",6,83993
"<5317, 0>",7,179707
"<5317, 0>",8,349302
"<5317, 0>",9,633061
"<5317, 0>",10,1087057
"<5317, 0>",11,1790185
"<5317, 0>",12,2851408
"<5317, 0>",13,4917278
"<5317, 0>",14,7424388
"<5317, 0>",15,9998119
"<5317, 0>",16,17609470
"<5317, 0>",17,31047378
"<5317, 0>",18,56099525
"<5317, 0>",19,99968961
"<5317, 0>",20,342050139
"<5314, 0>",1,0
"<5314, 0>",2,15249
"<5314, 0>",3,56766
"<5314, 0>",4,138749
"<5314, 0>",5,286717
"<5314, 0>",6,537274
"<5314, 0>",7,942360
"<5314, 0>",8,1390078
"<5314, 0>",9,2005396
"<5314, 0>",10,2840035
"<5314, 0>",11,4410795
"<5314, 0>",12,6044782
"<5314, 0>",13,8195812
"<5314, 0>",14,11008001
"<5314, 0>",15,16107361
"<5314, 0>",16,25508092
"<5314, 0>",17,40781458
"<5314, 0>",18,67068040
"<5314, 0>",19,129958630
"<5314, 0>",20,342004647
"<5320, 0>",1,0
"<5320, 0>",2,69833
"<5320, 0>",3,198382
"<5320, 0>",4,352935
"<5320, 0>",5,578309
"<5320, 0>",6,898981
"<5320, 0>",7,1346699
"<5320, 0>",8,1962017
"<5320, 0>",9,2796656
"<5320, 0>",10,4367416
"<5320, 0>",11,6001403
"<5320, 0>",12,8152433
"<5320, 0>",13,10964622
"<5320, 0>",14,14619806
"<5320, 0>",15,17637133
"<5320, 0>",16,25456038
"<5320, 0>",17,40712051
"<5320, 0>",18,66972606
"<5320, 0>",19,129828493
"<5320, 0>",20,341831131
"<5321, 0>",1,0
"<5321, 0>",2,388734
"<5321, 0>",3,866171
"<5321, 0>",4,1449957
"<5321, 0>",5,2160316
"<5321, 0>",6,3515827
"<5321, 0>",7,4654704
"<5321, 0>",8,6022937
"<5321, 0>",9,7661275
"<5321, 0>",10,9617923
"<5321, 0>",11,13273107
"<5321, 0>",12,16290434
"<5321, 0>",13,19866666
"<5321, 0>",14,24098333
"<5321, 0>",15,26493411
"<5321, 0>",16,34914474
"<5321, 0>",17,51074457
"<5321, 0>",18,92244824
"<5321, 0>",19,179039272
"<5321, 0>",20,336444335
"<5315, 0>",1,0
"<5315, 0>",2,70
"<5315, 0>",3,378
"<5315, 0>",4,1932
"<5315, 0>",5,8599
"<5315, 0>",6,34646
"<5315, 0>",7,84371
"<5315, 0>",8,180085
"<5315, 0>",9,349680
"<5315, 0>",10,633439
"<5315, 0>",11,1087435
"<5315, 0>",12,1790563
"<5315, 0>",13,2851786
"<5315, 0>",14,4917656
"<5315, 0>",15,7424766
"<5315, 0>",16,13223702
"<5315, 0>",17,28307621
"<5315, 0>",18,56100356
"<5315, 0>",19,99970095
"<5315, 0>",20,342051651
"<5316, 0>",1,0
"<5316, 0>",2,199345
"<5316, 0>",3,485160
"<5316, 0>",4,886504
"<5316, 0>",5,1440883
"<5316, 0>",6,1918320
"<5316, 0>",7,2502106
"<5316, 0>",8,3212465
"<5316, 0>",9,4567976
"<5316, 0>",10,5706853
"<5316, 0>",11,7075086
"<5316, 0>",12,8713424
"<5316, 0>",13,10670072
"<5316, 0>",14,14325256
"<5316, 0>",15,17342583
"<5316, 0>",16,25102578
"<5316, 0>",17,40240771
"<5316, 0>",18,66324596
"<5316, 0>",19,128944843
"<5316, 0>",20,340652931
"<5060, 0>",1,0
"<5060, 0>",2,199345
"<5060, 0>",3,485160
"<5060, 0>",4,886504
"<5060, 0>",5,1440883
"<5060, 0>",6,1918320
"<5060, 0>",7,2502106
"<5060, 0>",8,3212465
"<5060, 0>",9,4567976
"<5060, 0>",10,5706853
"<5060, 0>",11,7075086
"<5060, 0>",12,8713424
"<5060, 0>",13,10670072
"<5060, 0>",14,14325256
"<5060, 0>",15,17342583
"<5060, 0>",16,25102578
"<5060, 0>",17,40240771
"<5060, 0>",18,66324596
"<5060, 0>",19,128944843
"<5060, 0>",20,340652931
"<5307, 0>",1,0
"<5307, 0>",2,70
"<5307, 0>",3,378
"<5307, 0>",4,1932
"<5307, 0>",5,8599
"<5307, 0>",6,34646
"<5307, 0>",7,84371
"<5307, 0>",8,180085
"<5307, 0>",9,349680
"<5307, 0>",10,633439
"<5307, 0>",11,1087435
"<5307, 0>",12,1790563
"<5307, 0>",13,2851786
"<5307, 0>",14,4917656
"<5307, 0>",15,7424766
"<5307, 0>",16,13223702
"<5307, 0>",17,28307621
"<5307, 0>",18,56100356
"<5307, 0>",19,99970095
"<5307, 0>",20,342051651
"<5322, 0>",1,0
"<5322, 0>",2,285815
"<5322, 0>",3,538410
"<5322, 0>",4,852804
"<5322, 0>",5,1241538
"<5322, 0>",6,1718975
"<5322, 0>",7,2302761
"<5322, 0>",8,3013120
"<5322, 0>",9,4368631
"<5322, 0>",10,5507508
"<5322, 0>",11,6875741
"<5322, 0>",12,8514079
"<5322, 0>",13,10470727
"<5322, 0>",14,14125911
"<5322, 0>",15,17143238
"<5322, 0>",16,24863364
"<5322, 0>",17,39921819
"<5322, 0>",18,65886037
"<5322, 0>",19,128346808
"<5322, 0>",20,339855551
"<5010, 0>",1,0
"<5010, 0>",2,199345
"<5010, 0>",3,485160
"<5010, 0>",4,886504
"<5010, 0>",5,1440883
"<5010, 0>",6,1918320
"<5010, 0>",7,2502106
"<5010, 0>",8,3212465
"<5010, 0>",9,4567976
"<5010, 0>",10,5706853
"<5010, 0>",11,7075086
"<5010, 0>",12,8713424
"<5010, 0>",13,10670072
"<5010, 0>",14,14325256
"<5010, 0>",15,17342583
"<5010, 0>",16,25102578
"<5010, 0>",17,40240771
"<5010, 0>",18,66324596
"<5010, 0>",19,128944843
"<5010, 0>",20,340652931
"<5273, 0>",1,0
"<5273, 0>",2,252595
"<5273, 0>",3,566989
"<5273, 0>",4,955723
"<5273, 0>",5,1433160
"<5273, 0>",6,2016946
"<5273, 0>",7,2727305
"<5273, 0>",8,4082816
"<5273, 0>",9,5221693
"<5273, 0>",10,6589926
"<5273, 0>",11,8228264
"<5273, 0>",12,10184912
"<5273, 0>",13,13840096
"<5273, 0>",14,16857423
"<5273, 0>",15,20433655
"<5273, 0>",16,29598386
"<5273, 0>",17,47459814
"<5273, 0>",18,93492200
"<5273, 0>",19,180740239
"<5273, 0>",20,338712291
"<5018, 0>",1,0
"<5018, 0>",2,15249
"<5018, 0>",3,56766
"<5018, 0>",4,138749
"<5018, 0>",5,286717
"<5018, 0>",6,537274
"<5018, 0>",7,942360
"<5018, 0>",8,1390078
"<5018, 0>",9,2005396
"<5018, 0>",10,2840035
"<5018, 0>",11,4410795
"<5018, 0>",12,6044782
"<5018, 0>",13,8195812
"<5018, 0>",14,11008001
"<5018, 0>",15,16107361
"<5018, 0>",16,25508092
"<5018, 0>",17,40781458
"<5018, 0>",18,67068040
"<5018, 0>",19,129958630
"<5018, 0>",20,342004647
"<5318, 0>",1,0
"<5318, 0>",2,15249
"<5318, 0>",3,56766
"<5318, 0>",4,138749
"<5318, 0>",5,286717
"<5318, 0>",6,537274
"<5318, 0>",7,942360
"<5318, 0>",8,1390078
"<5318, 0>",9,2005396
"<5318, 0>",10,2840035
"<5318, 0>",11,4410795
"<5318, 0>",12,6044782
"<5318, 0>",13,8195812
"<5318, 0>",14,11008001
"<5318, 0>",15,16107361
"<5318, 0>",16,25508092
"<5318, 0>",17,40781458
"<5318, 0>",18,67068040
"<5318, 0>",19,129958630
"<5318, 0>",20,342004647
"<5319, 0>",1,0
"<5319, 0>",2,199345
"<5319, 0>",3,485160
"<5319, 0>",4,886504
"<5319, 0>",5,1440883
"<5319, 0>",6,1918320
"<5319, 0>",7,2502106
"<5319, 0>",8,3212465
"<5319, 0>",9,4567976
"<5319, 0>",10,5706853
"<5319, 0>",11,7075086
"<5319, 0>",12,8713424
"<5319, 0>",13,10670072
"<5319, 0>",14,14325256
"<5319, 0>",15,17342583
"<5319, 0>",16,25102578
"<5319, 0>",17,40240771
"<5319, 0>",18,66324596
"<5319, 0>",19,128944843
"<5319, 0>",20,340652931
"<5366, 0>",1,0
"<5366, 0>",2,199345
"<5366, 0>",3,485160
"<5366, 0>",4,886504
"<5366, 0>",5,1440883
"<5366, 0>",6,1918320
"<5366, 0>",7,2502106
"<5366, 0>",8,3212465
"<5366, 0>",9,4567976
"<5366, 0>",10,5706853
"<5366, 0>",11,7075086
"<5366, 0>",12,8713424
"<5366, 0>",13,10670072
"<5366, 0>",14,14325256
"<5366, 0>",15,17342583
"<5366, 0>",16,25102578
"<5366, 0>",17,40240771
"<5366, 0>",18,66324596
"<5366, 0>",19,128944843
"<5366, 0>",20,340652931
"<5225, 0>",1,0
"<5225, 0>",2,9569
"<5225, 0>",3,37758
"<5225, 0>",4,96904
"<5225, 0>",5,208096
"<5225, 0>",6,401896
"<5225, 0>",7,722176
"<5225, 0>",8,1081266
"<5225, 0>",9,1579774
"<5225, 0>",10,2261831
"<5225, 0>",11,3183608
"<5225, 0>",12,4911487
"<5225, 0>",13,6703256
"<5225, 0>",14,9056935
"<5225, 0>",15,12127847
"<5225, 0>",16,21223313
"<5225, 0>",17,37263203
"<5225, 0>",18,67080320
"<5225, 0>",19,129975376
"<5225, 0>",20,342026975
"<5212, 0>",1,0
"<5212, 0>",2,15249
"<5212, 0>",3,56766
"<5212, 0>",4,138749
"<5212, 0>",5,286717
"<5212, 0>",6,537274
"<5212, 0>",7,942360
"<5212, 0>",8,1390078
"<5212, 0>",9,2005396
"<5212, 0>",10,2840035
"<5212, 0>",11,4410795
"<5212, 0>",12,6044782
"<5212, 0>",13,8195812
"<5212, 0>",14,11008001
"<5212, 0>",15,16107361
"<5212, 0>",16,25508092
"<5212, 0>",17,40781458
"<5212, 0>",18,67068040
"<5212, 0>",19,129958630
"<5212, 0>",20,342004647
"<5323, 0>",1,0
"<5323, 0>",2,15249
"<5323, 0>",3,56766
"<5323, 0>",4,138749
"<5323, 0>",5,286717
"<5323, 0>",6,537274
"<5323, 0>",7,942360
"<5323, 0>",8,1390078
"<5323, 0>",9,2005396
"<5323, 0>",10,2840035
"<5323, 0>",11,4410795
"<5323, 0>",12,6044782
"<5323, 0>",13,8195812
"<5323, 0>",14,11008001
"<5323, 0>",15,16107361
"<5323, 0>",16,25508092
"<5323, 0>",17,40781458
"<5323, 0>",18,67068040
"<5323, 0>",19,129958630
"<5323, 0>",20,342004647
"<5341, 0>",1,0
"<5341, 0>",2,199345
"<5341, 0>",3,485160
"<5341, 0>",4,886504
"<5341, 0>",5,1440883
"<5341, 0>",6,1918320
"<5341, 0>",7,2502106
"<5341, 0>",8,3212465
"<5341, 0>",9,4567976
"<5341, 0>",10,5706853
"<5341, 0>",11,7075086
"<5341, 0>",12,8713424
"<5341, 0>",13,10670072
"<5341, 0>",14,14325256
"<5341, 0>",15,17342583
"<5341, 0>",16,25102578
"<5341, 0>",17,40240771
"<5341, 0>",18,66324596
"<5341, 0>",19,128944843
"<5341, 0>",20,340652931
"<5324, 0>",1,0
"<5324, 0>",2,388734
"<5324, 0>",3,866171
"<5324, 0>",4,1449957
"<5324, 0>",5,2160316
"<5324, 0>",6,3515827
"<5324, 0>",7,4654704
"<5324, 0>",8,6022937
"<5324, 0>",9,7661275
"<5324, 0>",10,9617923
"<5324, 0>",11,13273107
"<5324, 0>",12,16290434
"<5324, 0>",13,19866666
"<5324, 0>",14,24098333
"<5324, 0>",15,26493411
"<5324, 0>",16,34914474
"<5324, 0>",17,51074457
"<5324, 0>",18,92244824
"<5324, 0>",19,179039272
"<5324, 0>",20,336444335
"<5005, 0>",1,0
"<5005, 0>",2,199345
"<5005, 0>",3,485160
"<5005, 0>",4,886504
"<5005, 0>",5,1440883
"<5005, 0>",6,1918320
"<5005, 0>",7,2502106
"<5005, 0>",8,3212465
"<5005, 0>",9,4567976
"<5005, 0>",10,5706853
"<5005, 0>",11,7075086
"<5005, 0>",12,8713424
"<5005, 0>",13,10670072
"<5005, 0>",14,14325256
"<5005, 0>",15,17342583
"<5005, 0>",16,25102578
"<5005, 0>",17,40240771
"<5005, 0>",18,66324596
"<5005, 0>",19,128944843
"<5005, 0>",20,340652931
"<5325, 0>",1,0
"<5325, 0>",2,388734
"<5325, 0>",3,866171
"<5325, 0>",4,1449957
"<5325, 0>",5,2160316
"<5325, 0>",6,3515827
"<5325, 0>",7,4654704
"<5325, 0>",8,6022937
"<5325, 0>",9,7661275
"<5325, 0>",10,9617923
"<5325, 0>",11,13273107
"<5325, 0>",12,16290434
"<5325, 0>",13,19866666
"<5325, 0>",14,24098333
"<5325, 0>",15,26493411
"<5325, 0>",16,34914474
"<5325, 0>",17,51074457
"<5325, 0>",18,92244824
"<5325, 0>",19,179039272
"<5325, 0>",20,336444335
"<5342, 0>",1,0
"<5342, 0>",2,15249
"<5342, 0>",3,56766
"<5342, 0>",4,138749
"<5342, 0>",5,286717
"<5342, 0>",6,537274
"<5342, 0>",7,942360
"<5342, 0>",8,1390078
"<5342, 0>",9,2005396
"<5342, 0>",10,2840035
"<5342, 0>",11,4410795
"<5342, 0>",12,6044782
"<5342, 0>",13,8195812
"<5342, 0>",14,11008001
"<5342, 0>",15,16107361
"<5342, 0>",16,25508092
"<5342, 0>",17,40781458
"<5342, 0>",18,67068040
"<5342, 0>",19,129958630
"<5342, 0>",20,342004647
"<5094, 0>",1,0
"<5094, 0>",2,9569
"<5094, 0>",3,37758
"<5094, 0>",4,96904
"<5094, 0>",5,208096
"<5094, 0>",6,401896
"<5094, 0>",7,722176
"<5094, 0>",8,1081266
"<5094, 0>",9,1579774
"<5094, 0>",10,2261831
"<5094, 0>",11,3183608
"<5094, 0>",12,4911487
"<5094, 0>",13,6703256
"<5094, 0>",14,9056935
"<5094, 0>",15,12127847
"<5094, 0>",16,21223313
"<5094, 0>",17,37263203
"<5094, 0>",18,67080320
"<5094, 0>",19,129975376
"<5094, 0>",20,342026975
"<5326, 0>",1,0
"<5326, 0>",2,388734
"<5326, 0>",3,866171
"<5326, 0>",4,1449957
"<5326, 0>",5,2160316
"<5326, 0>",6,3515827
"<5326, 0>",7,4654704
"<5326, 0>",8,6022937
"<5326, 0>",9,7661275
"<5326, 0>",10,9617923
"<5326, 0>",11,13273107
"<5326, 0>",12,16290434
"<5326, 0>",13,19866666
"<5326, 0>",14,24098333
"<5326, 0>",15,26493411
"<5326, 0>",16,34914474
"<5326, 0>",17,51074457
"<5326, 0>",18,92244824
"<5326, 0>",19,179039272
"<5326, 0>",20,336444335
"<5327, 0>",1,0
"<5327, 0>",2,70
"<5327, 0>",3,378
"<5327, 0>",4,1932
"<5327, 0>",5,8599
"<5327, 0>",6,34646
"<5327, 0>",7,84371
"<5327, 0>",8,180085
"<5327, 0>",9,349680
"<5327, 0>",10,633439
"<5327, 0>",11,1087435
"<5327, 0>",12,1790563
"<5327, 0>",13,2851786
"<5327, 0>",14,4917656
"<5327, 0>",15,7424766
"<5327, 0>",16,13223702
"<5327, 0>",17,28307621
"<5327, 0>",18,56100356
"<5327, 0>",19,99970095
"<5327, 0>",20,342051651
"<5328, 0>",1,0
"<5328, 0>",2,70
"<5328, 0>",3,378
"<5328, 0>",4,1932
"<5328, 0>",5,8599
"<5328, 0>",6,34646
"<5328, 0>",7,84371
"<5328, 0>",8,180085
"<5328, 0>",9,349680
"<5328, 0>",10,633439
"<5328, 0>",11,1087435
"<5328, 0>",12,1790563
"<5328, 0>",13,2851786
"<5328, 0>",14,4917656
"<5328, 0>",15,7424766
"<5328, 0>",16,13223702
"<5328, 0>",17,28307621
"<5328, 0>",18,56100356
"<5328, 0>",19,99970095
"<5328, 0>",20,342051651
"<5329, 0>",1,0
"<5329, 0>",2,69833
"<5329, 0>",3,198382
"<5329, 0>",4,352935
"<5329, 0>",5,578309
"<5329, 0>",6,898981
"<5329, 0>",7,1346699
"<5329, 0>",8,1962017
"<5329, 0>",9,2796656
"<5329, 0>",10,4367416
"<5329, 0>",11,6001403
"<5329, 0>",12,8152433
"<5329, 0>",13,10964622
"<5329, 0>",14,14619806
"<5329, 0>",15,17637133
"<5329, 0>",16,25456038
"<5329, 0>",17,40712051
"<5329, 0>",18,66972606
"<5329, 0>",19,129828493
"<5329, 0>",20,341831131
"<5330, 0>",1,0
"<5330, 0>",2,1500
"<5330, 0>",3,4000
"<5330, 0>",4,25000
"<5330, 0>",5,75000
"<5330, 0>",6,211327
"<5330, 0>",7,405127
"<5330, 0>",8,725407
"<5330, 0>",9,1233246
"<5330, 0>",10,1787625
"<5330, 0>",11,2542674
"<5330, 0>",12,3559207
"<5330, 0>",13,5457809
"<5330, 0>",14,7421828
"<5330, 0>",15,9995559
"<5330, 0>",16,17606398
"<5330, 0>",17,31043282
"<5330, 0>",18,56093893
"<5330, 0>",19,99961281
"<5330, 0>",20,342039899
"<5331, 0>",1,0
"<5331, 0>",2,388734
"<5331, 0>",3,866171
"<5331, 0>",4,1449957
"<5331, 0>",5,2160316
"<5331, 0>",6,3515827
"<5331, 0>",7,4654704
"<5331, 0>",8,6022937
"<5331, 0>",9,7661275
"<5331, 0>",10,9617923
"<5331, 0>",11,13273107
"<5331, 0>",12,16290434
"<5331, 0>",13,19866666
"<5331, 0>",14,24098333
"<5331, 0>",15,26493411
"<5331, 0>",16,34914474
"<5331, 0>",17,51074457
"<5331, 0>",18,92244824
"<5331, 0>",19,179039272
"<5331, 0>",20,336444335
"<5332, 0>",1,0
"<5332, 0>",2,3231
"<5332, 0>",3,12800
"<5332, 0>",4,40989
"<5332, 0>",5,100135
"<5332, 0>",6,211327
"<5332, 0>",7,405127
"<5332, 0>",8,725407
"<5332, 0>",9,1233246
"<5332, 0>",10,1787625
"<5332, 0>",11,2542674
"<5332, 0>",12,3559207
"<5332, 0>",13,5457809
"<5332, 0>",14,7421828
"<5332, 0>",15,9995559
"<5332, 0>",16,17606398
"<5332, 0>",17,31043282
"<5332, 0>",18,56093893
"<5332, 0>",19,99961281
"<5332, 0>",20,342039899
"<5333, 0>",1,0
"<5333, 0>",2,388734
"<5333, 0>",3,866171
"<5333, 0>",4,1449957
"<5333, 0>",5,2160316
"<5333, 0>",6,3515827
"<5333, 0>",7,4654704
"<5333, 0>",8,6022937
"<5333, 0>",9,7661275
"<5333, 0>",10,9617923
"<5333, 0>",11,13273107
"<5333, 0>",12,16290434
"<5333, 0>",13,19866666
"<5333, 0>",14,24098333
"<5333, 0>",15,26493411
"<5333, 0>",16,34914474
"<5333, 0>",17,51074457
"<5333, 0>",18,92244824
"<5333, 0>",19,179039272
"<5333, 0>",20,336444335
"<5334, 0>",1,0
"<5334, 0>",2,3231
"<5334, 0>",3,12800
"<5334, 0>",4,40989
"<5334, 0>",5,100135
"<5334, 0>",6,211327
"<5334, 0>",7,405127
"<5334, 0>",8,725407
"<5334, 0>",9,1233246
"<5334, 0>",10,1787625
"<5334, 0>",11,2542674
"<5334, 0>",12,3559207
"<5334, 0>",13,5457809
"<5334, 0>",14,7421828
"<5334, 0>",15,9995559
"<5334, 0>",16,17606398
"<5334, 0>",17,31043282
"<5334, 0>",18,56093893
"<5334, 0>",19,99961281
"<5334, 0>",20,342039899
"<5335, 0>",1,0
"<5335, 0>",2,388734
"<5335, 0>",3,866171
"<5335, 0>",4,1449957
"<5335, 0>",5,2160316
"<5335, 0>",6,3515827
"<5335, 0>",7,4654704
"<5335, 0>",8,6022937
"<5335, 0>",9,7661275
"<5335, 0>",10,9617923
"<5335, 0>",11,13273107
"<5335, 0>",12,16290434
"<5335, 0>",13,19866666
"<5335, 0>",14,24098333
"<5335, 0>",15,26493411
"<5335, 0>",16,34914474
"<5335, 0>",17,51074457
"<5335, 0>",18,92244824
"<5335, 0>",19,179039272
"<5335, 0>",20,336444335
"<5336, 0>",1,0
"<5336, 0>",2,3231
"<5336, 0>",3,12800
"<5336, 0>",4,40989
"<5336, 0>",5,100135
"<5336, 0>",6,211327
"<5336, 0>",7,405127
"<5336, 0>",8,725407
"<5336, 0>",9,1233246
"<5336, 0>",10,1787625
"<5336, 0>",11,2542674
"<5336, 0>",12,3559207
"<5336, 0>",13,5457809
"<5336, 0>",14,7421828
"<5336, 0>",15,9995559
"<5336, 0>",16,17606398
"<5336, 0>",17,31043282
"<5336, 0>",18,56093893
"<5336, 0>",19,99961281
"<5336, 0>",20,342039899
"<5337, 0>",1,0
"<5337, 0>",2,388734
"<5337, 0>",3,866171
"<5337, 0>",4,1449957
"<5337, 0>",5,2160316
"<5337, 0>",6,3515827
"<5337, 0>",7,4654704
"<5337, 0>",8,6022937
"<5337, 0>",9,7661275
"<5337, 0>",10,9617923
"<5337, 0>",11,13273107
"<5337, 0>",12,16290434
"<5337, 0>",13,19866666
"<5337, 0>",14,24098333
"<5337, 0>",15,26493411
"<5337, 0>",16,34914474
"<5337, 0>",17,51074457
"<5337, 0>",18,92244824
"<5337, 0>",19,179039272
"<5337, 0>",20,336444335
"<5338, 0>",1,0
"<5338, 0>",2,70
"<5338, 0>",3,378
"<5338, 0>",4,1932
"<5338, 0>",5,8599
"<5338, 0>",6,34646
"<5338, 0>",7,84371
"<5338, 0>",8,180085
"<5338, 0>",9,349680
"<5338, 0>",10,633439
"<5338, 0>",11,1087435
"<5338, 0>",12,1790563
"<5338, 0>",13,2851786
"<5338, 0>",14,4917656
"<5338, 0>",15,7424766
"<5338, 0>",16,13223702
"<5338, 0>",17,28307621
"<5338, 0>",18,56100356
"<5338, 0>",19,99970095
